colony,tag_id,body_size,age(days),nb_foraging_events,group_period1,group_period2,group_period3,group_period4,visits_to_brood,visits_to_nest_entrance,visits_to_rubbishpile,nb_interaction_nurses,nb_interaction_cleaners,nb_interaction_foragers,nb_interaction_queen
58,27,161.608,40,0,N,N,N,C,364,0.0909091,1.63636,328.72727,91.818182,43.272727,15
58,29,173.159,40,0,N,N,N,N,185.545,0,1.18182,446.81818,59.272727,23.909091,23.55
58,30,140.064,57,0,N,N,C,C,94.3636,0.181818,2.27273,308.72727,113.45455,33,5.273
58,32,159.656,40,0,N,N,N,N,468.909,0.181818,1.72727,466.72727,90.363636,40.090909,22.64
58,40,160.705,57,0,N,N,C,C,74.2727,0.818182,36.6364,406.18182,107.54545,34.181818,35.45
58,50,164.648,113,0,N,C,F,F,182.091,2.72727,22.0909,596,319.54545,137,25
58,52,177.913,40,0,N,N,N,N,255.182,0.181818,4.63636,347.81818,124.90909,58.181818,28.36
58,59,168.582,57,0,N,N,N,N,353.818,0,0.363636,585.18182,94.818182,30.727273,28.27
58,62,158.619,14,0,N,N,N,N,177.273,0,0.454545,569.18182,166.72727,89.181818,15.18
58,65,176.98,14,0,N,N,NA,NA,300.909,0.272727,0,587.63636,92.181818,28.909091,18.09
58,66,188.438,71,0,N,N,N,N,133.545,0.363636,0,394.45455,103.18182,36.909091,13.27
58,68,136.953,40,0,N,N,N,C,1001,0,1,524,70,25.090909,41.82
58,71,180.602,50,0,N,N,N,N,130.818,0.363636,0,544,110,40.363636,44.73
58,74,181.728,57,0,N,N,N,NA,167.364,0,0.272727,491.90909,198.54545,74.545455,10.45
58,81,168.324,14,0,N,N,C,N,113.909,0.0909091,1.36364,464.18182,210.54545,86.636364,3.727
58,100,208.274,14,0,N,N,F,F,235.636,1.54545,2.54545,714,315.81818,143,21.18
58,105,148.93,78,0,N,N,N,C,288.727,0,0.454545,388.81818,92,47.454545,16.91
58,113,152.427,57,0,N,C,F,NA,747.364,5.81818,0,298.90909,138.54545,175.18182,7.273
